market,symbol,evict_date,rsi_at_evict,drift_at_evict,outcome,days,exit_ret_pct
IN,BANCOINDIA,2016-08-05,,0.0,PEAD_Q5,63,-2.27
IN,SPARC,2016-08-05,,0.0,PEAD_Q5,63,-18.63
IN,RPGLIFE,2016-08-10,,0.0,PEAD_Q5,63,7.4
IN,J&KBANK,2016-08-17,,0.0,PEAD_Q5,63,-16.56
IN,NOCIL,2016-08-17,,0.0,PEAD_Q5,63,5.07
IN,JAMNAAUTO,2016-08-17,,0.0,PEAD_Q5,63,-25.25
IN,NEULANDLAB,2016-08-18,,0.0,PEAD_Q5,63,5.83
IN,KESORAMIND,2016-08-18,,0.0,PEAD_Q5,63,-5.85
IN,CENTRALBK,2016-08-18,,0.0,PEAD_Q5,63,-22.59
IN,PFC,2016-08-18,,0.0,PEAD_Q5,63,6.15
IN,INDIANB,2016-08-18,,0.0,PEAD_Q5,63,7.39
IN,MAHASTEEL,2016-08-30,,0.0,PEAD_Q5,63,-52.85
IN,ORIENTBANK,2016-08-31,,0.0,PEAD_Q5,63,-5.61
IN,ALBK,2016-08-31,,0.0,PEAD_Q5,63,-19.19
IN,DHAMPURSUG,2016-09-14,,0.0,PEAD_Q5,63,5.45
IN,BOMDYEING,2016-09-14,,0.0,PEAD_Q5,63,-18.02
IN,RUSHIL,2016-09-15,,0.0,PEAD_Q5,63,18.57
IN,KWALITY,2016-09-22,,0.0,PEAD_Q5,63,-16.58
IN,ICIL,2016-09-22,,0.0,PEAD_Q5,63,-5.5
IN,CENTENKA,2016-09-23,,0.0,PEAD_Q5,63,-4.11
IN,GITANJALI,2016-09-23,,0.0,PEAD_Q5,63,-16.58
IN,JUBLFOOD,2016-09-26,,0.0,PEAD_Q5,63,-13.38
IN,IGL,2016-09-27,,0.0,PEAD_Q5,63,15.0
IN,BIRLACORPN,2016-09-29,,0.0,PEAD_Q5,63,-6.49
IN,BALKRISIND,2016-09-29,,0.0,PEAD_Q5,63,19.02
IN,BASF,2016-09-29,,0.0,PEAD_Q5,63,-3.39
IN,CEATLTD,2016-09-30,,0.0,PEAD_Q5,63,-10.02
IN,HINDZINC,2016-10-04,,0.0,PEAD_Q5,63,3.95
IN,ENGINERSIN,2016-10-04,,0.0,PEAD_Q5,63,22.22
IN,GAIL,2016-10-04,,0.0,PEAD_Q5,63,9.86
IN,MRPL,2016-10-04,,0.0,PEAD_Q5,63,23.27
IN,HINDOILEXP,2016-10-04,,0.0,PEAD_Q5,63,17.77
IN,JYOTHYLAB,2016-10-04,,0.0,PEAD_Q5,63,-7.24
IN,CENTURYPLY,2016-10-04,,0.0,PEAD_Q5,63,-30.82
IN,MANGLMCEM,2016-10-04,,0.0,PEAD_Q5,63,-21.67
IN,FRETAIL,2016-10-05,,0.0,PEAD_Q5,63,-4.37
IN,SHILPAMED,2016-10-05,,0.0,PEAD_Q5,63,15.78
IN,GSFC,2016-10-05,,0.0,PEAD_Q5,63,16.76
IN,PETRONET,2016-10-05,,0.0,PEAD_Q5,63,0.93
IN,PATELENG,2016-10-05,,0.0,PEAD_Q5,63,-20.86
IN,RTNPOWER,2016-10-05,,0.0,PEAD_Q5,63,-19.44
IN,NBCC,2016-10-05,,0.0,PEAD_Q5,63,-10.65
IN,UNICHEMLAB,2016-10-05,,0.0,PEAD_Q5,63,-3.02
IN,ONGC,2016-10-05,,0.0,PEAD_Q5,63,13.94
IN,METALFORGE,2016-10-05,,0.0,PEAD_Q5,63,-19.69
IN,WSTCSTPAPR,2016-10-05,,0.0,PEAD_Q5,63,11.13
IN,RENUKA,2016-10-06,,0.0,PEAD_Q5,63,-7.85
IN,ABAN,2016-10-17,,0.0,PEAD_Q5,63,-12.87
IN,CYIENT,2016-10-17,,0.0,PEAD_Q5,63,-1.28
IN,SUMEETINDS,2016-10-20,,0.0,PEAD_Q5,63,-5.01
IN,SYNGENE,2016-10-24,,0.0,PEAD_Q5,63,2.53
IN,RBLBANK,2016-10-26,,0.0,PEAD_Q5,63,10.36
IN,PIIND,2016-10-27,,0.0,PEAD_Q5,63,3.1
IN,TIRUMALCHM,2016-10-27,,0.0,PEAD_Q5,63,8.04
IN,APTECHT,2016-10-27,,0.0,PEAD_Q5,63,-11.2
IN,VGUARD,2016-10-27,,0.0,PEAD_Q5,63,-7.33
IN,KIRLOSBROS,2016-10-28,,0.0,PEAD_Q5,63,11.08
IN,IIFL,2016-11-01,,0.0,PEAD_Q5,63,-6.41
IN,NAUKRI,2016-11-02,,0.0,PEAD_Q5,63,-11.83
IN,SONATSOFTW,2016-11-07,,0.0,PEAD_Q5,63,18.48
IN,PNB,2016-11-09,,0.0,PEAD_Q5,63,5.41
IN,KELLTONTEC,2016-11-09,,0.0,PEAD_Q5,63,9.65
IN,SREINFRA,2016-11-09,,0.0,PEAD_Q5,63,8.37
IN,DENABANK,2016-11-11,,0.0,PEAD_Q5,63,5.14
IN,UNIONBANK,2016-11-11,,0.0,PEAD_Q5,63,4.38
IN,VOLTAMP,2016-11-11,,0.0,PEAD_Q5,63,12.94
IN,MAXINDIA,2016-11-11,,0.0,PEAD_Q5,63,0.91
IN,WABAG,2016-11-11,,0.0,PEAD_Q5,63,-4.39
IN,MOREPENLAB,2016-11-11,,0.0,PEAD_Q5,63,-5.43
IN,PFS,2016-11-11,,0.0,PEAD_Q5,63,7.68
IN,KEC,2016-11-11,,0.0,PEAD_Q5,63,16.23
IN,RECLTD,2016-11-15,,0.0,PEAD_Q5,63,15.29
IN,SUNPHARMA,2016-11-15,,0.0,PEAD_Q5,63,-4.07
IN,TATACOMM,2016-11-15,,0.0,PEAD_Q5,63,22.81
IN,NATCOPHARM,2016-11-17,,0.0,PEAD_Q5,63,15.25
IN,OMKARCHEM,2016-11-22,,0.0,PEAD_Q5,63,4.06
IN,VOLTAS,2016-11-23,,0.0,PEAD_Q5,63,20.75
IN,SIGNET,2016-11-23,,0.0,PEAD_Q5,63,-13.29
IN,NITCO,2016-11-24,,0.0,PEAD_Q5,63,16.14
IN,FIEMIND,2016-11-24,,0.0,PEAD_Q5,63,-10.47
IN,SUDARSCHEM,2016-11-24,,0.0,PEAD_Q5,63,12.13
IN,TIMKEN,2016-11-30,,0.0,PEAD_Q5,63,8.52
IN,BGRENERGY,2016-12-07,,0.0,PEAD_Q5,63,13.57
IN,IL&FSTRANS,2016-12-12,,0.0,PEAD_Q5,63,-0.54
IN,JKIL,2016-12-14,,0.0,PEAD_Q5,63,22.44
IN,SUNTECK,2016-12-15,,0.0,PEAD_Q5,63,55.59
IN,NILKAMAL,2017-01-11,,0.0,PEAD_Q5,63,30.84
IN,MASTEK,2017-01-19,,0.0,PEAD_Q5,63,43.4
IN,HINDOILEXP,2017-01-20,,0.0,PEAD_Q5,63,13.8
IN,SUMEETINDS,2017-01-25,,0.0,PEAD_Q5,63,-10.15
IN,DLINKINDIA,2017-01-25,,0.0,PEAD_Q5,63,12.47
IN,QUESS,2017-01-27,,0.0,PEAD_Q5,63,11.23
IN,TRENT,2017-01-27,,0.0,PEAD_Q5,63,3.16
IN,IRB,2017-01-30,,0.0,PEAD_Q5,63,13.51
IN,BHARATFIN,2017-01-30,,0.0,PEAD_Q5,63,5.82
IN,PNBHOUSING,2017-01-30,,0.0,PEAD_Q5,63,50.92
IN,PNBGILTS,2017-02-01,,0.0,PEAD_Q5,63,-3.63
IN,BHARTIARTL,2017-02-01,,0.0,PEAD_Q5,63,1.8
IN,KITEX,2017-02-01,,0.0,PEAD_Q5,63,-8.01
IN,VGUARD,2017-02-02,,0.0,PEAD_Q5,63,42.09
IN,INDIACEM,2017-02-02,,0.0,PEAD_Q5,63,31.22
IN,EMAMILTD,2017-02-03,,0.0,PEAD_Q5,63,-5.53
IN,ICICIBANK,2017-02-03,,0.0,PEAD_Q5,63,6.07
IN,SANGHIIND,2017-02-06,,0.0,PEAD_Q5,63,27.05
IN,UCOBANK,2017-02-06,,0.0,PEAD_Q5,63,11.99
IN,CUMMINSIND,2017-02-06,,0.0,PEAD_Q5,63,14.71
IN,KEI,2017-02-07,,0.0,PEAD_Q5,63,28.35
IN,SUNDRMFAST,2017-02-07,,0.0,PEAD_Q5,63,14.99
IN,RENUKA,2017-02-07,,0.0,PEAD_Q5,63,-12.42
IN,KMSUGAR,2017-02-07,,0.0,PEAD_Q5,63,-36.54
IN,ANDHRSUGAR,2017-02-08,,0.0,PEAD_Q5,63,20.31
IN,JKCEMENT,2017-02-08,,0.0,PEAD_Q5,63,33.4
IN,INDHOTEL,2017-02-08,,0.0,PEAD_Q5,63,18.64
IN,DHANUKA,2017-02-10,,0.0,PEAD_Q5,63,16.17
IN,MANAPPURAM,2017-02-13,,0.0,PEAD_Q5,63,-7.31
IN,MAXVIL,2017-02-13,,0.0,PEAD_Q5,63,2.37
IN,POLARIS,2017-02-13,,0.0,PEAD_Q5,63,29.87
IN,ENDURANCE,2017-02-14,,0.0,PEAD_Q5,63,18.58
IN,MAXINDIA,2017-02-16,,0.0,PEAD_Q5,63,-5.61
IN,BYKE,2017-02-16,,0.0,PEAD_Q5,63,4.4
IN,ADANIENT,2017-02-17,,0.0,PEAD_Q5,63,21.11
IN,MUTHOOTFIN,2017-02-20,,0.0,PEAD_Q5,63,11.13
IN,JAYSREETEA,2017-02-21,,0.0,PEAD_Q5,63,-10.48
IN,AMTEKAUTO,2017-02-21,,0.0,PEAD_Q5,63,1.4
IN,PARAGMILK,2017-02-21,,0.0,PEAD_Q5,63,10.74
IN,REPCOHOME,2017-02-21,,0.0,PEAD_Q5,63,16.19
IN,IPCALAB,2017-02-21,,0.0,PEAD_Q5,63,-9.36
IN,GREAVESCOT,2017-02-21,,0.0,PEAD_Q5,63,-2.48
IN,JINDALSTEL,2017-02-23,,0.0,PEAD_Q5,63,5.92
IN,VIKASECO,2017-03-02,,0.0,PEAD_Q5,63,11.75
IN,ORIENTPPR,2017-03-03,,0.0,PEAD_Q5,63,17.43
IN,RANASUG,2017-03-06,,0.0,PEAD_Q5,63,-19.25
IN,TCS,2017-05-19,,0.0,PEAD_Q5,63,0.27
IN,HIMATSEIDE,2017-05-29,,0.0,PEAD_Q5,63,-9.17
IN,VOLTAS,2017-05-29,,0.0,PEAD_Q5,63,7.32
IN,SUVEN,2017-05-30,,0.0,PEAD_Q5,63,-13.06
IN,AIAENG,2017-05-30,,0.0,PEAD_Q5,63,-10.39
IN,3MINDIA,2017-05-30,,0.0,PEAD_Q5,63,5.26
IN,DHANUKA,2017-05-31,,0.0,PEAD_Q5,63,-21.35
IN,BIRLACORPN,2017-05-31,,0.0,PEAD_Q5,63,14.1
IN,PCJEWELLER,2017-05-31,,0.0,PEAD_Q5,63,42.27
IN,LIBERTSHOE,2017-05-31,,0.0,PEAD_Q5,63,4.96
IN,MAXVIL,2017-06-01,,0.0,PEAD_Q5,63,-11.84
IN,TAKE,2017-06-01,,0.0,PEAD_Q5,63,13.57
IN,MIC,2017-06-01,,0.0,PEAD_Q5,63,-28.9
IN,CGPOWER,2017-06-01,,0.0,PEAD_Q5,63,-2.33
IN,ESCORTS,2017-06-07,,0.0,PEAD_Q5,63,-12.58
IN,ASIANTILES,2017-06-07,,0.0,PEAD_Q5,63,15.03
IN,NATHBIOGEN,2017-06-09,,0.0,PEAD_Q5,63,21.21
IN,STCINDIA,2017-06-12,,0.0,PEAD_Q5,63,-3.39
IN,HINDOILEXP,2017-06-12,,0.0,PEAD_Q5,63,36.92
IN,HINDZINC,2017-06-12,,0.0,PEAD_Q5,63,28.33
IN,REPCOHOME,2017-06-13,,0.0,PEAD_Q5,63,-26.65
IN,SATIN,2017-06-14,,0.0,PEAD_Q5,63,13.23
IN,SCI,2017-06-15,,0.0,PEAD_Q5,63,7.81
IN,SANGHIIND,2017-06-15,,0.0,PEAD_Q5,63,-0.22
IN,MADHUCON,2017-06-15,,0.0,PEAD_Q5,63,-24.42
IN,MHRIL,2017-06-16,,0.0,PEAD_Q5,63,-12.35
IN,MANINDS,2017-06-16,,0.0,PEAD_Q5,63,11.62
IN,GINNIFILA,2017-06-19,,0.0,PEAD_Q5,63,-17.27
IN,IGARASHI,2017-06-19,,0.0,PEAD_Q5,63,-7.62
IN,AXISCADES,2017-06-19,,0.0,PEAD_Q5,63,-9.73
IN,GRAPHITE,2017-06-20,,0.0,PEAD_Q5,63,162.27
IN,WABAG,2017-06-20,,0.0,PEAD_Q5,63,-11.69
IN,KARURVYSYA,2017-06-20,,0.0,PEAD_Q5,63,6.39
IN,VRLLOG,2017-06-20,,0.0,PEAD_Q5,63,12.48
IN,GOACARBON,2017-06-21,,0.0,PEAD_Q5,63,75.95
IN,KCP,2017-06-21,,0.0,PEAD_Q5,63,9.89
IN,RPPINFRA,2017-06-21,,0.0,PEAD_Q5,63,8.33
IN,SREINFRA,2017-06-21,,0.0,PEAD_Q5,63,-11.34
IN,NIITLTD,2017-06-21,,0.0,PEAD_Q5,63,16.83
IN,HEG,2017-06-21,,0.0,PEAD_Q5,63,213.26
IN,GUFICBIO,2017-06-21,,0.0,PEAD_Q5,63,2.53
IN,GULFOILLUB,2017-06-21,,0.0,PEAD_Q5,63,-3.72
IN,VINATIORGA,2017-06-21,,0.0,PEAD_Q5,63,-2.1
IN,VISAKAIND,2017-06-21,,0.0,PEAD_Q5,63,12.68
IN,VETO,2017-06-23,,0.0,PEAD_Q5,63,8.6
IN,JUBLFOOD,2017-07-19,,0.0,PEAD_Q5,63,18.58
IN,BEPL,2017-07-19,,0.0,PEAD_Q5,63,39.0
IN,NTPC,2017-08-03,,0.0,PEAD_Q5,63,3.88
IN,HEROMOTOCO,2017-08-04,,0.0,PEAD_Q5,63,-6.95
IN,NAUKRI,2017-08-07,,0.0,PEAD_Q5,63,16.79
IN,IMFA,2017-08-07,,0.0,PEAD_Q5,63,12.87
