quarter,segment,market,holds,trading_revenue,other_income,total_income,fees_commission,operating_expense,total_expense,pbt,tax,pat
2016Q3,India Equities,IN,7,126044.50035177277,6800.000000000001,132844.5003517728,24500.0,5000.0,29500.0,103344.50035177279,20668.90007035456,82675.60028141823
2016Q4,India Equities,IN,7,12451.056672921985,6800.000000000001,19251.056672921986,24500.0,5000.0,29500.0,-10248.943327078014,0.0,-10248.943327078014
2017Q1,India Equities,IN,6,128628.31319249199,6800.000000000001,135428.313192492,21000.0,5000.0,26000.0,109428.313192492,21885.6626384984,87542.6505539936
2017Q2,India Equities,IN,7,94649.62641101742,6800.000000000001,101449.62641101742,24500.0,5000.0,29500.0,71949.62641101742,14389.925282203485,57559.70112881394
2017Q3,India Equities,IN,6,55026.33353930746,6800.000000000001,61826.33353930746,21000.0,5000.0,26000.0,35826.33353930746,7165.266707861492,28661.06683144597
2017Q4,India Equities,IN,7,214373.99844090283,6800.000000000001,221173.99844090283,24500.0,5000.0,29500.0,191673.99844090283,38334.79968818057,153339.19875272227
2018Q1,India Equities,IN,6,-93138.180728881,6800.000000000001,-86338.180728881,21000.0,5000.0,26000.0,-112338.180728881,0.0,-112338.180728881
2018Q2,India Equities,IN,7,-99480.86379293901,6800.000000000001,-92680.86379293901,24500.0,5000.0,29500.0,-122180.86379293901,0.0,-122180.86379293901
2018Q3,India Equities,IN,6,-147950.05999126827,6800.000000000001,-141150.05999126827,21000.0,5000.0,26000.0,-167150.05999126827,0.0,-167150.05999126827
2018Q4,India Equities,IN,7,62836.07666314779,6800.000000000001,69636.07666314779,24500.0,5000.0,29500.0,40136.07666314779,8027.215332629558,32108.86133051823
2019Q1,India Equities,IN,6,10759.48044522312,6800.000000000001,17559.480445223122,21000.0,5000.0,26000.0,-8440.519554776878,0.0,-8440.519554776878
2019Q2,India Equities,IN,7,-167161.02106869715,6800.000000000001,-160361.02106869715,24500.0,5000.0,29500.0,-189861.02106869715,0.0,-189861.02106869715
2019Q3,India Equities,IN,6,-134455.17117210658,6800.000000000001,-127655.17117210658,21000.0,5000.0,26000.0,-153655.17117210658,0.0,-153655.17117210658
2019Q4,India Equities,IN,7,91674.36232931702,6800.000000000001,98474.36232931702,24500.0,5000.0,29500.0,68974.36232931702,13794.872465863406,55179.48986345362
2020Q1,India Equities,IN,6,-444138.7409038543,6800.000000000001,-437338.7409038543,21000.0,5000.0,26000.0,-463338.7409038543,0.0,-463338.7409038543
2020Q2,India Equities,IN,7,428892.5529817395,6800.000000000001,435692.5529817395,24500.0,5000.0,29500.0,406192.5529817395,81238.51059634791,324954.0423853916
2020Q3,India Equities,IN,6,135411.82634249402,6800.000000000001,142211.82634249402,21000.0,5000.0,26000.0,116211.82634249402,23242.365268498805,92969.46107399522
2020Q4,India Equities,IN,7,251880.68620059945,6800.000000000001,258680.68620059945,24500.0,5000.0,29500.0,229180.68620059945,45836.13724011989,183344.54896047956
2021Q1,India Equities,IN,6,93390.50448481026,6800.000000000001,100190.50448481026,21000.0,5000.0,26000.0,74190.50448481026,14838.100896962053,59352.4035878482
2021Q2,India Equities,IN,7,297795.5740128341,6800.000000000001,304595.5740128341,24500.0,5000.0,29500.0,275095.5740128341,55019.11480256682,220076.4592102673
2021Q3,India Equities,IN,6,87558.84989078598,6800.000000000001,94358.84989078598,21000.0,5000.0,26000.0,68358.84989078598,13671.769978157196,54687.07991262878
2021Q4,India Equities,IN,7,117878.12051338464,6800.000000000001,124678.12051338464,24500.0,5000.0,29500.0,95178.12051338464,19035.624102676928,76142.49641070771
2022Q1,India Equities,IN,6,-1139.3338136686386,6800.000000000001,5660.666186331362,21000.0,5000.0,26000.0,-20339.333813668636,0.0,-20339.333813668636
2022Q2,India Equities,IN,7,-66632.31013750166,6800.000000000001,-59832.310137501656,24500.0,5000.0,29500.0,-89332.31013750166,0.0,-89332.31013750166
2022Q3,India Equities,IN,7,100940.23227781402,6800.000000000001,107740.23227781402,24500.0,5000.0,29500.0,78240.23227781402,15648.046455562806,62592.18582225122
2022Q4,India Equities,IN,6,97743.81832419043,6800.000000000001,104543.81832419043,21000.0,5000.0,26000.0,78543.81832419043,15708.763664838087,62835.05465935235
2023Q1,India Equities,IN,7,-15335.02312658687,6800.000000000001,-8535.023126586868,24500.0,5000.0,29500.0,-38035.023126586864,0.0,-38035.023126586864
2023Q2,India Equities,IN,6,162751.32141699787,6800.000000000001,169551.32141699787,21000.0,5000.0,26000.0,143551.32141699787,28710.264283399578,114841.0571335983
2023Q3,India Equities,IN,7,149231.79857846414,6800.000000000001,156031.79857846414,24500.0,5000.0,29500.0,126531.79857846414,25306.35971569283,101225.4388627713
2023Q4,India Equities,IN,6,145204.4620639684,6800.000000000001,152004.4620639684,21000.0,5000.0,26000.0,126004.46206396841,25200.892412793684,100803.56965117474
2024Q1,India Equities,IN,7,61805.62701027683,6800.000000000001,68605.62701027683,24500.0,5000.0,29500.0,39105.62701027683,7821.125402055367,31284.501608221464
2024Q2,India Equities,IN,6,158692.490316327,6800.000000000001,165492.490316327,21000.0,5000.0,26000.0,139492.490316327,27898.4980632654,111593.99225306159
2024Q3,India Equities,IN,7,46494.969821158404,6800.000000000001,53294.969821158404,24500.0,5000.0,29500.0,23794.969821158404,4758.993964231681,19035.97585692672
2024Q4,India Equities,IN,6,45579.62173563076,6800.000000000001,52379.62173563076,21000.0,5000.0,26000.0,26379.62173563076,5275.9243471261525,21103.69738850461
2025Q1,India Equities,IN,7,-207430.84978997603,6800.000000000001,-200630.84978997603,24500.0,5000.0,29500.0,-230130.84978997603,0.0,-230130.84978997603
2025Q2,India Equities,IN,6,190303.1958484242,6800.000000000001,197103.1958484242,21000.0,5000.0,26000.0,171103.1958484242,34220.63916968484,136882.55667873935
2025Q3,India Equities,IN,7,8730.389501763306,6800.000000000001,15530.389501763308,24500.0,5000.0,29500.0,-13969.610498236692,0.0,-13969.610498236692
2025Q4,India Equities,IN,6,-33088.782007684196,6800.000000000001,-26288.782007684196,21000.0,5000.0,26000.0,-52288.782007684196,0.0,-52288.782007684196
2026Q1,India Equities,IN,7,-34077.743289242404,6800.000000000001,-27277.743289242404,24500.0,5000.0,29500.0,-56777.743289242404,0.0,-56777.743289242404
2026Q2,India Equities,IN,6,145437.77483776843,6800.000000000001,152237.77483776843,21000.0,5000.0,26000.0,126237.77483776843,25247.55496755369,100990.21987021474
2026Q3,India Equities,IN,1,-6216.682388368801,6800.000000000001,583.3176116311997,3500.0,5000.0,8500.0,-7916.6823883688,0.0,-7916.6823883688
2016Q4,US Equities,US,2,108459.89862246513,4300.0,112759.89862246513,2000.0,5000.0,7000.0,105759.89862246513,25382.37566939163,80377.5229530735
2017Q1,US Equities,US,6,1894.8414101967737,4300.0,6194.841410196774,6000.0,5000.0,11000.0,-4805.158589803226,0.0,-4805.158589803226
2017Q2,US Equities,US,7,55811.116761003184,4300.0,60111.116761003184,7000.0,5000.0,12000.0,48111.116761003184,11546.668022640764,36564.44873836242
2017Q3,US Equities,US,6,62772.9942291867,4300.0,67072.9942291867,6000.0,5000.0,11000.0,56072.994229186705,13457.518615004808,42615.475614181894
2017Q4,US Equities,US,7,98731.98122451759,4300.0,103031.98122451759,7000.0,5000.0,12000.0,91031.98122451759,21847.67549388422,69184.30573063336
2018Q1,US Equities,US,6,-61105.53459963679,4300.0,-56805.53459963679,6000.0,5000.0,11000.0,-67805.5345996368,0.0,-67805.5345996368
2018Q2,US Equities,US,7,100808.99965185403,4300.0,105108.99965185403,7000.0,5000.0,12000.0,93108.99965185403,22346.159916444965,70762.83973540907
2018Q3,US Equities,US,6,-8500.649098689042,4300.0,-4200.649098689042,6000.0,5000.0,11000.0,-15200.649098689042,0.0,-15200.649098689042
2018Q4,US Equities,US,7,-68324.37340143426,4300.0,-64024.37340143426,7000.0,5000.0,12000.0,-76024.37340143426,0.0,-76024.37340143426
2019Q1,US Equities,US,6,56730.22576133711,4300.0,61030.22576133711,6000.0,5000.0,11000.0,50030.22576133711,12007.254182720906,38022.971578616205
2019Q2,US Equities,US,7,16124.924031874478,4300.0,20424.924031874478,7000.0,5000.0,12000.0,8424.924031874478,2021.9817676498747,6402.942264224603
2019Q3,US Equities,US,6,-20980.073493255313,4300.0,-16680.073493255313,6000.0,5000.0,11000.0,-27680.073493255313,0.0,-27680.073493255313
2019Q4,US Equities,US,7,65656.94645741858,4300.0,69956.94645741858,7000.0,5000.0,12000.0,57956.946457418584,13909.66714978046,44047.27930763812
2020Q1,US Equities,US,6,-354187.15276781045,4300.0,-349887.15276781045,6000.0,5000.0,11000.0,-360887.15276781045,0.0,-360887.15276781045
2020Q2,US Equities,US,7,474767.98033531284,4300.0,479067.98033531284,7000.0,5000.0,12000.0,467067.98033531284,112096.31528047507,354971.66505483777
2020Q3,US Equities,US,6,41148.31173143889,4300.0,45448.31173143889,6000.0,5000.0,11000.0,34448.31173143889,8267.594815545333,26180.716915893554
2020Q4,US Equities,US,7,309009.89801309985,4300.0,313309.89801309985,7000.0,5000.0,12000.0,301309.89801309985,72314.37552314396,228995.52248995588
2021Q1,US Equities,US,6,84481.32618657156,4300.0,88781.32618657156,6000.0,5000.0,11000.0,77781.32618657156,18667.518284777176,59113.80790179438
2021Q2,US Equities,US,7,-5363.3381179813005,4300.0,-1063.3381179813005,7000.0,5000.0,12000.0,-13063.3381179813,0.0,-13063.3381179813
2021Q3,US Equities,US,6,-16108.642831859692,4300.0,-11808.642831859692,6000.0,5000.0,11000.0,-22808.64283185969,0.0,-22808.64283185969
2021Q4,US Equities,US,7,-20945.296719007394,4300.0,-16645.296719007394,7000.0,5000.0,12000.0,-28645.296719007394,0.0,-28645.296719007394
2022Q1,US Equities,US,6,14370.465337405214,4300.0,18670.465337405214,6000.0,5000.0,11000.0,7670.465337405214,1840.9116809772513,5829.553656427963
2022Q2,US Equities,US,7,-203948.09825135936,4300.0,-199648.09825135936,7000.0,5000.0,12000.0,-211648.09825135936,0.0,-211648.09825135936
2022Q3,US Equities,US,7,-101848.91282601724,4300.0,-97548.91282601724,7000.0,5000.0,12000.0,-109548.91282601724,0.0,-109548.91282601724
2022Q4,US Equities,US,6,104006.59127164724,4300.0,108306.59127164724,6000.0,5000.0,11000.0,97306.59127164724,23353.581905195337,73953.00936645191
2023Q1,US Equities,US,7,25325.270396580454,4300.0,29625.270396580454,7000.0,5000.0,12000.0,17625.270396580454,4230.064895179309,13395.205501401146
2023Q2,US Equities,US,6,56696.60740082065,4300.0,60996.60740082065,6000.0,5000.0,11000.0,49996.60740082065,11999.185776196955,37997.42162462369
2023Q3,US Equities,US,7,-100011.709703902,4300.0,-95711.709703902,7000.0,5000.0,12000.0,-107711.709703902,0.0,-107711.709703902
2023Q4,US Equities,US,6,121199.21327789615,4300.0,125499.21327789615,6000.0,5000.0,11000.0,114499.21327789615,27479.811186695075,87019.40209120107
2024Q1,US Equities,US,7,38314.84242890107,4300.0,42614.84242890107,7000.0,5000.0,12000.0,30614.842428901073,7347.562182936257,23267.280245964816
2024Q2,US Equities,US,6,-9303.397763832152,4300.0,-5003.397763832152,6000.0,5000.0,11000.0,-16003.397763832152,0.0,-16003.397763832152
2024Q3,US Equities,US,7,57909.38414484896,4300.0,62209.38414484896,7000.0,5000.0,12000.0,50209.38414484896,12050.25219476375,38159.13195008521
2024Q4,US Equities,US,6,49521.08838830789,4300.0,53821.08838830789,6000.0,5000.0,11000.0,42821.08838830789,10277.061213193894,32544.027175114
2025Q1,US Equities,US,7,-233402.37572532942,4300.0,-229102.37572532942,7000.0,5000.0,12000.0,-241102.37572532942,0.0,-241102.37572532942
2025Q2,US Equities,US,6,166210.77160316592,4300.0,170510.77160316592,6000.0,5000.0,11000.0,159510.77160316592,38282.58518475982,121228.18641840611
2025Q3,US Equities,US,7,77835.82803917037,4300.0,82135.82803917037,7000.0,5000.0,12000.0,70135.82803917037,16832.59872940089,53303.229309769486
2025Q4,US Equities,US,6,19678.956733009098,4300.0,23978.956733009098,6000.0,5000.0,11000.0,12978.956733009098,3114.9496159221835,9864.007117086914
2026Q1,US Equities,US,7,55177.64863293083,4300.0,59477.64863293083,7000.0,5000.0,12000.0,47477.64863293083,11394.6356719034,36083.01296102743
2026Q2,US Equities,US,6,51731.04760741798,4300.0,56031.04760741798,6000.0,5000.0,11000.0,45031.04760741798,10807.451425780315,34223.596181637666
2026Q3,US Equities,US,1,-11899.456308813325,4300.0,-7599.456308813325,1000.0,5000.0,6000.0,-13599.456308813325,0.0,-13599.456308813325
2016Q4,Japan Equities,JP,1,22599.955854472748,1000.0,23599.955854472748,1500.0,5000.0,6500.0,17099.955854472748,3473.8560318361388,13626.09982263661
2017Q1,Japan Equities,JP,7,-32536.857348440586,1000.0,-31536.857348440586,10500.0,5000.0,15500.0,-47036.857348440586,0.0,-47036.857348440586
2017Q2,Japan Equities,JP,6,182588.78761216608,1000.0,183588.78761216608,9000.0,5000.0,14000.0,169588.78761216608,34451.96220341154,135136.82540875455
2017Q3,Japan Equities,JP,7,110250.00999518359,1000.0,111250.00999518359,10500.0,5000.0,15500.0,95750.00999518359,19451.614530521547,76298.39546466204
2017Q4,Japan Equities,JP,6,122543.68137745647,1000.0,123543.68137745647,9000.0,5000.0,14000.0,109543.68137745647,22253.79887183028,87289.88250562618
2018Q1,Japan Equities,JP,7,-47070.828190723296,1000.0,-46070.828190723296,10500.0,5000.0,15500.0,-61570.828190723296,0.0,-61570.828190723296
2018Q2,Japan Equities,JP,6,-39916.41496715221,1000.0,-38916.41496715221,9000.0,5000.0,14000.0,-52916.41496715221,0.0,-52916.41496715221
2018Q3,Japan Equities,JP,7,35994.166701246446,1000.0,36994.166701246446,10500.0,5000.0,15500.0,21494.166701246446,4366.539965358215,17127.626735888232
2018Q4,Japan Equities,JP,6,-185798.5400327104,1000.0,-184798.5400327104,9000.0,5000.0,14000.0,-198798.5400327104,0.0,-198798.5400327104
2019Q1,Japan Equities,JP,7,140955.76278823707,1000.0,141955.76278823707,10500.0,5000.0,15500.0,126455.76278823707,25689.48821043036,100766.2745778067
2019Q2,Japan Equities,JP,6,-11239.510592475612,1000.0,-10239.510592475612,9000.0,5000.0,14000.0,-24239.510592475614,0.0,-24239.510592475614
2019Q3,Japan Equities,JP,6,13539.977740546894,1000.0,14539.977740546894,9000.0,5000.0,14000.0,539.977740546894,109.6964779921015,430.2812625547925
2019Q4,Japan Equities,JP,7,118737.90802431539,1000.0,119737.90802431539,10500.0,5000.0,15500.0,104237.90802431539,21175.93101513967,83061.97700917572
2020Q1,Japan Equities,JP,6,-295926.41262315965,1000.0,-294926.41262315965,9000.0,5000.0,14000.0,-308926.41262315965,0.0,-308926.41262315965
2020Q2,Japan Equities,JP,7,274598.2368534586,1000.0,275598.2368534586,10500.0,5000.0,15500.0,260098.23685345863,52838.95681678012,207259.2800366785
2020Q3,Japan Equities,JP,6,115487.60338624447,1000.0,116487.60338624447,9000.0,5000.0,14000.0,102487.60338624447,20820.356627915564,81667.24675832891
2020Q4,Japan Equities,JP,7,91496.40620510242,1000.0,92496.40620510242,10500.0,5000.0,15500.0,76996.40620510242,15641.819920566557,61354.586284535864
