HSN Code,Chemical,Commodity (TradeStat),Tier,CY2024 Imports (USD mn),TradeStat FY25-26 (USD mn),FY30 Substitution Target %,FY30 Savings (USD mn),Capex Trigger,Status
29011100,Ethylene,N/A,tier1,2800,2800.0,35,980.0,BPCL AP + RIL O2C,ESTIMATE
29011200,Propylene,N/A,tier1,1400,1400.0,40,560.0,BPCL AP + RIL O2C,ESTIMATE
39021010,HDPE,POLYPROPYLENE,tier1,2800,1372.03,68,933.0,RIL O2C + L&T Bina,MATCHED
39021030,LDPE/LLDPE,POLYPROPYLENE,tier1,2900,1372.03,65,892.0,L&T Bina,MATCHED
39021100,Polypropylene,N/A,tier1,1372,1372.0,80,1098.0,BPCL Kochi + AP,ESTIMATE
29173600,TPA,TEREPHTHALIC ACID AND ITS SALTS,tier1,1469,1469.2,65,955.0,RIL polyester,MATCHED
29024300,para-Xylene,P-XYLENE,tier1,721,720.75,50,360.0,RIL aromatic,MATCHED
29053100,Ethylene Glycol,ETHYLENE GLYCOL (ETHANEDIOL),tier2,650,649.61,45,292.0,Petrochemical integration,MATCHED
29152100,Acetic Acid,ACETIC ACID,tier2,490,489.95,60,294.0,Ethylene cracker integration,MATCHED
39074100,PET,N/A,tier2,611,611.0,50,306.0,Polyester feedstock,ESTIMATE
29164000,Acrylic Acid,N/A,tier2,250,250.0,40,100.0,Specialty chemical capex,ESTIMATE
29214110,Aniline,ANILINE,tier2,352,352.37,35,123.0,Benzene integration,MATCHED
29214500,Caprolactam,PHENYL ALPHA NAPHTHYLAMINE,tier2,250,0.35,30,0.0,Specialty chemical complex,MATCHED
29239090,Lecithin,OTHER QUATERNARY AMMONIUM SALTS AND         HYDROXDELECITHINS AND O...,tier2_5,100,29.63,75,22.0,Oilseed processor expansion,MATCHED
32030010,Dyes (Azo/Disperse),CUTCH(CATECHU) EXTRACTS,tier3,1400,2.03,30,1.0,BHAVYA Parks + anti-dumping duty,MATCHED
32050000,Pigments,COLR LAKES,tier3,600,6.49,25,2.0,BHAVYA Parks (TiO2 raw-material constrained),MATCHED
38090010,Textile Auxiliaries,N/A,tier3,500,500.0,35,175.0,Auxiliary specialty complex,ESTIMATE
28301100,Sulfuric Acid,N/A,tier3,1650,1650.0,20,330.0,Mineral acid plant,ESTIMATE
28330000,Nitric Acid,N/A,tier3,580,580.0,15,87.0,Specialty chemical,ESTIMATE
28151090,Ammonia,N/A,inorganic,1820,1820.0,10,182.0,Fertilizer integration,ESTIMATE
28320000,Phosphoric Acid,N/A,inorganic,1420,1420.0,15,213.0,Phosphate rock processing,ESTIMATE
